03.10.2014 20:42:48           
03.10.2014 20:42:50  41915,86308 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -69,04 -1  1 0,00
03.10.2014 20:42:53  41915,86312 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -69,04 -1  1 0,00
03.10.2014 20:42:54  41915,86313 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 -1  1 0,00
03.10.2014 20:42:55  41915,86314 16038 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,53 33 CellOff 1 0,00
03.10.2014 20:42:56  41915,86316 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 20:42:57  41915,86317 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 20:42:58  41915,86318 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 20:42:59  41915,86319 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 20:43:00  41915,86320 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 20:43:01  41915,86321 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 20:43:02  41915,86323 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 -1  1 0,00
03.10.2014 20:46:15           
03.10.2014 20:46:16  41915,86547 16044 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,23 -1  1 0,00
03.10.2014 20:46:20  41915,86551 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -1,12 -1  1 0,00
03.10.2014 20:46:21  41915,86553 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,01 -1  1 0,00
03.10.2014 20:46:22  41915,86554 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,01 33 CellOff 1 0,00
03.10.2014 20:46:23  41915,86555 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,01 33 CellOff 1 0,00
03.10.2014 20:46:24  41915,86556 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,12 33 CellOff 1 0,00
03.10.2014 20:46:25  41915,86557 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,01 33 CellOff 1 0,00
03.10.2014 20:46:26  41915,86559 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,90 33 CellOff 1 0,00
03.10.2014 20:46:27  41915,86560 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,01 33 CellOff 1 0,00
03.10.2014 20:46:28  41915,86561 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,12 33 CellOff 1 0,00
03.10.2014 20:46:29  41915,86562 16046 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,12 -1  1 0,00
