1/8/2015 12:00:43 AM 42012.00051 8111.00 3.04 1164.00 44.41 39.73 101.34 28.64 0.03 -1  1 1 1 1 1 
1/8/2015 12:00:45 AM 42012.00052 8111.00 3.80 1164.00 44.32 39.64 101.34 28.68 0.03 -1  1 1 1 1 1 
1/8/2015 12:00:46 AM 42012.00054 8111.00 2.28 1167.00 44.41 39.77 101.34 28.64 -0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:00:47 AM 42012.00055 8111.00 3.80 1164.00 44.32 39.64 101.34 28.71 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:00:48 AM 42012.00056 8111.00 3.42 1166.00 44.58 39.64 101.34 28.72 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:00:49 AM 42012.00058 8111.00 2.28 1165.00 44.41 39.64 101.34 28.74 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:00:51 AM 42012.00059 8111.00 3.80 1165.00 44.58 39.64 101.34 28.74 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:00:52 AM 42012.00061 8111.00 3.80 1164.00 44.41 39.64 101.34 28.74 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:00:53 AM 42012.00062 8111.00 2.28 1163.00 44.50 39.77 101.34 28.77 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:00:54 AM 42012.00063 8111.00 3.80 1162.00 44.58 39.64 101.34 28.74 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:00:56 AM 42012.00065 8111.00 2.28 1164.00 44.45 39.64 101.34 28.75 -0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:00:57 AM 42012.00066 8111.00 3.80 1167.00 44.41 39.73 101.34 28.71 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:00:58 AM 42012.00068 8111.00 2.28 1167.00 44.45 39.73 101.34 28.60 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:00:59 AM 42012.00069 8111.00 3.80 1163.00 44.50 39.64 101.34 28.74 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:00 AM 42012.00070 8111.00 2.28 1168.00 44.58 39.68 101.34 28.69 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:02 AM 42012.00072 8111.00 3.80 1163.00 44.41 39.64 101.34 28.68 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:03 AM 42012.00073 8111.00 2.28 1163.00 44.32 39.64 101.34 28.71 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:04 AM 42012.00075 8111.00 3.04 1165.00 44.41 39.64 101.34 28.71 -0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:05 AM 42012.00076 8111.00 3.04 1167.00 44.32 39.81 101.34 28.61 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:06 AM 42012.00077 8111.00 3.04 1167.00 44.41 39.73 101.34 28.71 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:08 AM 42012.00079 8111.00 3.04 1167.00 44.50 39.64 101.34 28.64 0.06 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:09 AM 42012.00080 8111.00 3.04 1166.00 44.58 39.68 101.34 28.64 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:10 AM 42012.00082 8111.00 3.04 1167.00 44.58 39.64 101.34 28.68 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:11 AM 42012.00083 8111.00 3.80 1166.50 44.50 39.64 101.34 28.61 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:12 AM 42012.00084 8111.00 3.04 1168.00 44.58 39.64 101.34 28.71 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:14 AM 42012.00086 8111.00 2.28 1167.00 44.50 39.64 101.34 28.64 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:15 AM 42012.00087 8111.00 3.80 1167.00 44.58 39.81 101.34 28.71 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:16 AM 42012.00089 8111.00 2.28 1164.00 44.45 39.68 101.34 28.75 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:17 AM 42012.00090 8111.00 2.28 1167.00 44.41 39.81 101.34 28.71 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:18 AM 42012.00091 8111.00 3.04 1167.00 44.32 39.60 101.34 28.68 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:20 AM 42012.00093 8111.00 3.80 1166.00 44.41 39.64 101.34 28.77 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:21 AM 42012.00094 8111.00 2.28 1162.00 44.50 39.64 101.34 28.64 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:22 AM 42012.00096 8111.00 3.04 1164.00 44.54 39.81 101.34 28.72 0.06 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:23 AM 42012.00097 8111.00 3.04 1163.00 44.32 39.68 101.34 28.64 0.06 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:24 AM 42012.00098 8111.00 3.04 1164.00 44.41 39.81 101.34 28.68 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:26 AM 42012.00100 8111.00 3.80 1166.00 44.58 39.81 101.34 28.61 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:27 AM 42012.00101 8111.00 2.28 1168.00 44.41 39.73 101.34 28.64 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:28 AM 42012.00103 8111.00 3.80 1163.00 44.41 39.73 101.34 28.71 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:29 AM 42012.00104 8111.00 2.28 1163.00 44.32 39.73 101.34 28.64 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:31 AM 42012.00105 8111.00 3.04 1165.00 44.54 39.60 101.34 28.71 0.06 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:32 AM 42012.00107 8111.00 2.28 1164.00 44.32 39.64 101.34 28.77 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:33 AM 42012.00108 8111.00 3.80 1166.00 44.41 39.64 101.34 28.64 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:34 AM 42012.00110 8111.00 3.04 1167.00 44.41 39.73 101.34 28.58 0.04 22 TotalConcMeas 1 1 1 1 1 
